razpolozenje,energija,cas_na_voljo,lokacija,socialna_zelja,ustvarjalnost,telesna_pripravljenost,miselna_pripravljenost,stres,del_dneva,vreme_zunaj,quest_id,score,quest_idx
4,2,5,1,1,2,2,2,3,3,1,quest_2016,137.29500000000002,0
4,2,5,1,1,2,2,2,3,3,1,quest_19117,137.12,1
4,2,5,1,1,2,2,2,3,3,1,quest_15678,135.735,2
1,3,10,2,3,1,1,1,2,2,0,quest_4732,140.07999999999998,3
1,3,10,2,3,1,1,1,2,2,0,quest_7796,138.345,4
1,3,10,2,3,1,1,1,2,2,0,quest_16222,137.345,5
1,3,60,2,1,3,3,1,3,0,1,quest_161,142.02,6
1,3,60,2,1,3,3,1,3,0,1,quest_13872,140.735,7
1,3,60,2,1,3,3,1,3,0,1,quest_4732,140.07999999999998,3
4,3,60,0,1,2,2,3,2,2,1,quest_8174,139.25,8
4,3,60,0,1,2,2,3,2,2,1,quest_12457,138.11,9
4,3,60,0,1,2,2,3,2,2,1,quest_19243,137.89499999999998,10
4,2,5,2,3,2,1,1,1,1,1,quest_2016,137.29500000000002,0
4,2,5,2,3,2,1,1,1,1,1,quest_19117,137.12,1
4,2,5,2,3,2,1,1,1,1,1,quest_15678,135.735,2
2,4,5,2,3,1,1,3,2,1,0,quest_497,139.945,11
2,4,5,2,3,1,1,3,2,1,0,quest_16222,137.345,5
2,4,5,2,3,1,1,3,2,1,0,quest_17740,134.73,12
4,1,5,0,2,3,1,3,2,3,0,quest_2016,142.29500000000002,0
4,1,5,0,2,3,1,3,2,3,0,quest_19117,142.12,1
4,1,5,0,2,3,1,3,2,3,0,quest_18992,136.365,13
3,1,5,2,2,3,2,1,1,3,1,quest_16570,139.29000000000002,14
3,1,5,2,2,3,2,1,1,3,1,quest_2016,137.29500000000002,0
3,1,5,2,2,3,2,1,1,3,1,quest_17984,137.265,15
4,4,30,0,1,1,3,3,1,1,1,quest_19015,142.72500000000002,16
4,4,30,0,1,1,3,3,1,1,1,quest_1897,139.10000000000002,17
4,4,30,0,1,1,3,3,1,1,1,quest_17740,134.73,12
2,2,10,2,2,1,3,2,3,1,1,quest_7796,138.345,4
2,2,10,2,2,1,3,2,3,1,1,quest_5045,137.62,18
2,2,10,2,2,1,3,2,3,1,1,quest_6740,137.57999999999998,19
1,1,15,1,2,2,3,3,2,3,0,quest_664,142.39,20
1,1,15,1,2,2,3,3,2,3,0,quest_6781,141.89499999999998,21
1,1,15,1,2,2,3,3,2,3,0,quest_378,140.265,22
3,3,15,2,1,3,1,1,1,0,0,quest_7796,138.345,4
3,3,15,2,1,3,1,1,1,0,0,quest_15519,136.37,23
3,3,15,2,1,3,1,1,1,0,0,quest_4750,135.5,24
2,2,20,2,3,3,1,1,1,1,0,quest_7796,138.345,4
2,2,20,2,3,3,1,1,1,1,0,quest_15111,138.24,25
2,2,20,2,3,3,1,1,1,1,0,quest_5045,137.62,18
2,4,20,2,1,1,3,1,2,1,0,quest_1234,140.70999999999998,26
2,4,20,2,1,1,3,1,2,1,0,quest_497,139.945,11
2,4,20,2,1,1,3,1,2,1,0,quest_1897,139.10000000000002,17
3,3,30,2,1,2,3,1,2,3,0,quest_2511,140.41500000000002,27
3,3,30,2,1,2,3,1,2,3,0,quest_1897,139.10000000000002,17
3,3,30,2,1,2,3,1,2,3,0,quest_13859,139.07,28
1,3,60,0,3,2,1,3,1,1,0,quest_161,142.02,6
1,3,60,0,3,2,1,3,1,1,0,quest_13872,140.735,7
1,3,60,0,3,2,1,3,1,1,0,quest_4732,140.07999999999998,3
1,3,15,0,1,3,1,3,2,1,0,quest_161,142.02,6
1,3,15,0,1,3,1,3,2,1,0,quest_4732,140.07999999999998,3
1,3,15,0,1,3,1,3,2,1,0,quest_7796,138.345,4
2,1,20,2,3,2,1,3,3,0,0,quest_15111,143.24,25
2,1,20,2,3,2,1,3,3,0,0,quest_15288,141.98000000000002,29
2,1,20,2,3,2,1,3,3,0,0,quest_16883,137.92000000000002,30
4,3,10,2,2,3,2,3,1,3,0,quest_19015,137.72500000000002,16
4,3,10,2,2,3,2,3,1,3,0,quest_7796,133.345,4
4,3,10,2,2,3,2,3,1,3,0,quest_2016,132.29500000000002,0
1,1,30,0,2,3,1,3,3,3,0,quest_664,142.39,20
1,1,30,0,2,3,1,3,3,3,0,quest_6781,141.89499999999998,21
1,1,30,0,2,3,1,3,3,3,0,quest_378,140.265,22
4,1,60,0,1,3,3,2,3,1,1,quest_2016,142.29500000000002,0
4,1,60,0,1,3,3,2,3,1,1,quest_19117,142.12,1
4,1,60,0,1,3,3,2,3,1,1,quest_9951,140.78,31
2,2,30,1,2,1,3,1,3,1,1,quest_14060,140.585,32
2,2,30,1,2,1,3,1,3,1,1,quest_18605,140.51999999999998,33
2,2,30,1,2,1,3,1,3,1,1,quest_7796,138.345,4
2,2,15,0,3,1,2,2,3,2,1,quest_7796,138.345,4
2,2,15,0,3,1,2,2,3,2,1,quest_15111,138.24,25
2,2,15,0,3,1,2,2,3,2,1,quest_5045,137.62,18
4,3,60,2,2,2,2,2,2,0,1,quest_8174,139.25,8
4,3,60,2,2,2,2,2,2,0,1,quest_12457,138.11,9
4,3,60,2,2,2,2,2,2,0,1,quest_19243,137.89499999999998,10
2,3,20,1,2,3,1,3,3,2,1,quest_7796,143.345,4
2,3,20,1,2,3,1,3,3,2,1,quest_16643,142.28,34
2,3,20,1,2,3,1,3,3,2,1,quest_9205,140.57,35
4,2,30,1,1,3,1,3,1,2,0,quest_2525,140.395,36
4,2,30,1,1,3,1,3,1,2,0,quest_2016,137.29500000000002,0
4,2,30,1,1,3,1,3,1,2,0,quest_19117,137.12,1
3,1,10,1,2,2,1,3,3,2,1,quest_16570,139.29000000000002,14
3,1,10,1,2,2,1,3,3,2,1,quest_2016,137.29500000000002,0
3,1,10,1,2,2,1,3,3,2,1,quest_17984,137.265,15
4,3,15,2,2,1,3,1,2,1,0,quest_19015,137.72500000000002,16
4,3,15,2,2,1,3,1,2,1,0,quest_7796,133.345,4
4,3,15,2,2,1,3,1,2,1,0,quest_2016,132.29500000000002,0
2,1,60,0,2,3,1,3,1,3,1,quest_15111,143.24,25
2,1,60,0,2,3,1,3,1,3,1,quest_15288,141.98000000000002,29
2,1,60,0,2,3,1,3,1,3,1,quest_2046,138.715,37
4,3,5,0,2,3,3,1,1,3,0,quest_19015,137.72500000000002,16
4,3,5,0,2,3,3,1,1,3,0,quest_2016,132.29500000000002,0
4,3,5,0,2,3,3,1,1,3,0,quest_19117,132.12,1
2,3,15,2,2,1,2,2,1,3,1,quest_7796,143.345,4
2,3,15,2,2,1,2,2,1,3,1,quest_161,137.02,6
2,3,15,2,2,1,2,2,1,3,1,quest_1234,135.70999999999998,26
1,4,30,1,2,2,2,1,3,0,1,quest_5431,143.425,38
1,4,30,1,2,2,2,1,3,0,1,quest_16222,142.345,5
1,4,30,1,2,2,2,1,3,0,1,quest_12982,138.72,39
2,1,60,1,3,3,2,1,3,2,0,quest_15111,143.24,25
2,1,60,1,3,3,2,1,3,2,0,quest_15288,141.98000000000002,29
2,1,60,1,3,3,2,1,3,2,0,quest_2046,138.715,37
1,3,30,0,1,3,3,2,2,3,1,quest_161,142.02,6
1,3,30,0,1,3,3,2,2,3,1,quest_13872,140.735,7
1,3,30,0,1,3,3,2,2,3,1,quest_4732,140.07999999999998,3
3,3,30,2,2,2,2,2,3,0,0,quest_2511,140.41500000000002,27
3,3,30,2,2,2,2,2,3,0,0,quest_1897,139.10000000000002,17
3,3,30,2,2,2,2,2,3,0,0,quest_13859,139.07,28
1,1,60,2,1,3,3,3,3,0,0,quest_664,142.39,20
1,1,60,2,1,3,3,3,3,0,0,quest_6781,141.89499999999998,21
1,1,60,2,1,3,3,3,3,0,0,quest_378,140.265,22
2,3,5,2,2,2,2,3,2,0,0,quest_4732,135.07999999999998,3
2,3,5,2,2,2,2,3,2,0,0,quest_497,134.945,11
2,3,5,2,2,2,2,3,2,0,0,quest_6740,132.57999999999998,19
3,3,15,1,3,1,2,2,2,2,1,quest_7796,138.345,4
3,3,15,1,3,1,2,2,2,2,1,quest_15519,136.37,23
3,3,15,1,3,1,2,2,2,2,1,quest_4750,135.5,24
1,2,5,1,3,1,1,1,3,0,1,quest_664,137.39,20
1,2,5,1,3,1,1,1,3,0,1,quest_6781,136.89499999999998,21
1,2,5,1,3,1,1,1,3,0,1,quest_4732,135.07999999999998,3
3,2,30,0,3,1,3,1,1,0,1,quest_4750,140.5,24
3,2,30,0,3,1,3,1,1,0,1,quest_8056,140.38,40
3,2,30,0,3,1,3,1,1,0,1,quest_10973,139.9,41
1,4,20,0,3,1,2,3,3,3,1,quest_16222,142.345,5
1,4,20,0,3,1,2,3,3,3,1,quest_12982,138.72,39
1,4,20,0,3,1,2,3,3,3,1,quest_161,137.02,6
4,4,15,2,1,3,2,3,1,0,1,quest_19015,142.72500000000002,16
4,4,15,2,1,3,2,3,1,0,1,quest_17740,134.73,12
4,4,15,2,1,3,2,3,1,0,1,quest_8797,134.015,42
3,3,30,2,3,1,3,3,2,1,1,quest_2511,140.41500000000002,27
3,3,30,2,3,1,3,3,2,1,1,quest_1897,139.10000000000002,17
3,3,30,2,3,1,3,3,2,1,1,quest_13859,139.07,28
1,3,5,2,2,3,2,2,1,0,0,quest_4732,140.07999999999998,3
1,3,5,2,2,3,2,2,1,0,0,quest_16222,137.345,5
1,3,5,2,2,3,2,2,1,0,0,quest_7317,134.645,43
2,1,20,0,1,3,3,3,1,2,1,quest_15111,143.24,25
2,1,20,0,1,3,3,3,1,2,1,quest_15288,141.98000000000002,29
2,1,20,0,1,3,3,3,1,2,1,quest_16883,137.92000000000002,30
2,1,60,2,1,2,2,3,2,2,1,quest_15111,143.24,25
2,1,60,2,1,2,2,3,2,2,1,quest_15288,141.98000000000002,29
2,1,60,2,1,2,2,3,2,2,1,quest_2046,138.715,37
3,3,30,0,2,3,2,2,1,3,1,quest_2511,140.41500000000002,27
3,3,30,0,2,3,2,2,1,3,1,quest_1897,139.10000000000002,17
3,3,30,0,2,3,2,2,1,3,1,quest_13859,139.07,28
2,3,5,0,1,3,3,3,2,2,0,quest_4732,135.07999999999998,3
2,3,5,0,1,3,3,3,2,2,0,quest_497,134.945,11
2,3,5,0,1,3,3,3,2,2,0,quest_6740,132.57999999999998,19
2,4,10,1,3,1,2,3,3,3,1,quest_497,139.945,11
2,4,10,1,3,1,2,3,3,3,1,quest_7796,138.345,4
2,4,10,1,3,1,2,3,3,3,1,quest_16222,137.345,5
